row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,noisy_data.mzML Peak status,noisy_data.mzML Peak name,noisy_data.mzML Peak m/z,noisy_data.mzML Peak RT,noisy_data.mzML Peak RT start,noisy_data.mzML Peak RT end,noisy_data.mzML Peak duration time,noisy_data.mzML Peak height,noisy_data.mzML Peak area,noisy_data.mzML Peak charge,noisy_data.mzML Peak # data points,noisy_data.mzML Peak FWHM,noisy_data.mzML Peak tailing factor,noisy_data.mzML Peak asymmetry factor,noisy_data.mzML Peak m/z min,noisy_data.mzML Peak m/z max,
14,100.01399993896484,8.366666666666667,,,,"1965 : MZ=100.014, Time=8.35, Intensity=1012891.7, Times=[7.917~8.833],  MZ=[100.014~100.0141]",1,DETECTED,100.0140 m/z @8.37 [noisy_data.mzML],100.01399993896484,8.366666666666667,7.916666666666667,8.833333333333334,0.916666666666667,1025163.5,2.0680691629760727E7,0,1000,0.3201233663427274,0.8861878590792992,0.8505523918126228,100.01399993896484,100.01399993896484,
15,100.01499938964844,8.333333333333334,,,,"2108 : MZ=100.015, Time=8.333, Intensity=1010732.2, Times=[7.867~8.75],  MZ=[100.0149~100.015]",1,DETECTED,100.0150 m/z @8.33 [noisy_data.mzML],100.01499938964844,8.333333333333334,7.866666666666666,8.716666666666667,0.8500000000000005,1030429.5,2.0624965362579335E7,0,1000,0.31327521004837067,1.0053852298650992,1.0727515125744753,100.01499938964844,100.01499938964844,
16,100.01599884033203,8.333333333333334,,,,"2242 : MZ=100.016, Time=8.35, Intensity=999480.0, Times=[7.9~8.783],  MZ=[100.0159~100.016]",1,DETECTED,100.0160 m/z @8.33 [noisy_data.mzML],100.01599884033203,8.333333333333334,7.9,8.783333333333333,0.8833333333333329,1006522.875,2.0727560886840813E7,0,1000,0.319497778846463,0.9971704961635273,0.9954595098510239,100.01599884033203,100.01599884033203,
17,100.01699829101562,8.35,,,,"2379 : MZ=100.017, Time=8.35, Intensity=986390.3, Times=[7.967~8.767],  MZ=[100.0169~100.017]",1,DETECTED,100.0170 m/z @8.35 [noisy_data.mzML],100.01699829101562,8.35,7.966666666666667,8.766666666666667,0.8000000000000007,994893.625,2.027701180615234E7,0,1000,0.31432031476445843,0.9579845284169363,0.9047486790826326,100.01699829101562,100.01699829101562,
18,100.01799774169922,8.366666666666667,,,,"2531 : MZ=100.018, Time=8.35, Intensity=982320.6, Times=[7.9~8.8],  MZ=[100.0179~100.018]",1,DETECTED,100.0180 m/z @8.37 [noisy_data.mzML],100.01799774169922,8.366666666666667,7.9,8.8,0.9000000000000004,998219.875,2.039249831985473E7,0,1000,0.32861331986084075,0.9022991948093685,0.8943641961647361,100.01799774169922,100.01799774169922,
19,100.01899719238281,8.333333333333334,,,,"2685 : MZ=100.019, Time=8.333, Intensity=1001347.1, Times=[7.917~8.75],  MZ=[100.0189~100.019]",1,DETECTED,100.0190 m/z @8.33 [noisy_data.mzML],100.01899719238281,8.333333333333334,7.916666666666667,8.716666666666667,0.7999999999999998,1031925.125,2.045797158447265E7,0,1000,0.306427765491021,1.074108789455474,1.1135165958051034,100.01899719238281,100.01899719238281,
20,100.0199966430664,8.35,,,,"2824 : MZ=100.02, Time=8.333, Intensity=996124.6, Times=[7.883~8.717],  MZ=[100.0199~100.02]",1,DETECTED,100.0200 m/z @8.35 [noisy_data.mzML],100.0199966430664,8.35,7.883333333333334,8.716666666666667,0.833333333333333,1004523.1875,2.030191677636718E7,0,1000,0.31340865054440314,0.9462173009606782,1.077856250823365,100.0199966430664,100.0199966430664,
21,100.0199966430664,8.75,,,,"2825 : MZ=100.02, Time=8.733, Intensity=24447.9, Times=[8.733~8.9],  MZ=[100.0199~100.02]",1,DETECTED,100.0200 m/z @8.75 [noisy_data.mzML],100.0199966430664,8.75,8.733333333333333,8.9,0.16666666666666785,29950.337890625,74608.12588500977,0,1000,0.09244856874257756,2.962174606991125,0.9959419422528841,100.0199966430664,100.0199966430664,
22,100.02100372314453,8.366666666666667,,,,"2969 : MZ=100.021, Time=8.35, Intensity=985797.3, Times=[7.867~8.783],  MZ=[100.021~100.0211]",1,DETECTED,100.0210 m/z @8.37 [noisy_data.mzML],100.02100372314453,8.366666666666667,7.866666666666666,8.783333333333333,0.916666666666667,1011979.125,2.0536094918457028E7,0,1000,0.3236000626526092,0.9674505939588626,0.7610309285945175,100.02100372314453,100.02100372314453,
23,100.02200317382812,8.333333333333334,,,,"3126 : MZ=100.022, Time=8.35, Intensity=967388.7, Times=[7.983~8.717],  MZ=[100.022~100.0221]",1,DETECTED,100.0220 m/z @8.33 [noisy_data.mzML],100.02200317382812,8.333333333333334,7.983333333333333,8.716666666666667,0.7333333333333334,994053.1875,2.0379120005371094E7,0,1000,0.33063845891739874,1.0201341634333276,1.192097236683863,100.02200317382812,100.02200317382812,
