"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP2262",100,100,100,42,15,63,227960.462258197,45324.9772384245,9444.00636246428,2,1
"CP2263",100,100,100,391,371,411,222532.5168157,55846.4894783942,9832.03334501013,1,1
"CP2264",100,100,100,500,478,523,20410118.7581921,20169585.707072,1e+06,367,1
"CP2265",100,100,100,916,896,936,222532.5168157,55846.4894783942,9832.03334501013,1,1
"CP2266",100,100,100,296,271,297,132330.037886277,31898.5468488135,9866.33634893224,2,1
"CP2267",100,100,100,821,796,822,132330.037886277,31898.5468488135,9866.33634893224,2,1
"CP2269",100.001,100.001,100.001,108,107,139,150376.460645348,33946.5093592262,9795.00338900834,2,1
"CP2271",100.001,100.001,100.001,633,632,664,150376.460645348,33946.5093592262,9795.00338900834,2,1
"CP2268",100.001,100.001,100.001,500,478,523,20408271.1983094,20170815.2186392,1000553.19590785,369,1
"CP2270",100.001,100.001,100.001,289,288,310,119882.991844788,33438.9941746449,9922.69731592387,2,1
"CP2272",100.001,100.001,100.001,814,813,835,119882.991844788,33438.9941746449,9922.69731592387,2,1
"CP2274",100.002,100.002,100.002,379,361,402,254276.629078668,57808.5231202861,9967.61413989589,2,1
"CP2275",100.002,100.002,100.002,501,478,523,20436323.6469369,20182416.2744115,1003888.45022505,373,1
"CP2276",100.002,100.002,100.002,904,886,927,254276.629078668,57808.5231202861,9967.61413989589,2,1
"CP2277",100.002,100.002,100.002,192,175,209,177457.452968229,42389.7567441428,9988.99357626215,2,1
"CP2278",100.002,100.002,100.002,717,700,734,177457.452968229,42389.7567441428,9988.99357626215,2,1
"CP2279",100.002,100.002,100.002,575,574,598,135398.979787715,31165.1894489614,9750.10253721848,2,1
"CP2273",100.002,100.002,100.002,47,27,72,255118.59045364,59798.8399942095,9965.49320640042,2,1
"CP2280",100.003,100.003,100.003,160,122,141,111599.458199926,29355.9791005061,9877.72550201043,2,1
"CP2281",100.003,100.003,100.003,318,314,341,154959.889461752,39846.2652417366,9836.83876693249,2,1
"CP2282",100.003,100.003,100.003,500,478,523,20434292.0905082,20190267.9593105,1001288.23115936,363,1
"CP2283",100.003,100.003,100.003,685,647,666,111599.458199926,29355.9791005061,9877.72550201043,2,1
"CP2284",100.003,100.003,100.003,843,839,866,154959.889461752,39846.2652417366,9836.83876693249,2,1
"CP2285",100.003,100.003,100.003,994,956,997,210432.649105787,40675.7706341489,9774.5369723998,2,1
"CP2286",100.004,100.004,100.004,318,300,332,195405.027880333,47482.8684906706,9923.12327958643,2,1
"CP2287",100.004,100.004,100.004,500,478,523,20411392.565245,20159474.6769104,1002677.54106603,376,1
"CP2288",100.004,100.004,100.004,843,825,857,195405.027880333,47482.8684906706,9923.12327958643,2,1
"CP2291",100.005,100.005,100.005,501,478,523,20390688.3377329,20143430.3426552,1000376.66996617,360,1
"CP2292",100.005,100.005,100.005,932,907,960,283814.190423582,67147.2011637583,9920.54163943976,2,1
"CP2293",100.005,100.005,100.005,411,394,427,189438.504623249,47392.1681158672,9920.54163943976,2,1
"CP2289",100.005,100.005,100.005,858.396699321669,811,894,249926.128385123,51726.3854010941,9480.02764256671,1,1
"CP2290",100.005,100.005,100.005,333.396699321669,286,369,249926.128385123,51726.3854010941,9480.02764256671,1,1
"CP2294",100.005,100.005,100.005,47,32,71,188598.492525052,38108.3952442149,9600.47353524715,2,1
"CP2295",100.005,100.005,100.005,541,526,596,395180.939193815,97437.2790585498,9736.83416377753,2,1
"CP2302",100.006,100.006,100.006,175,174,189,84280.3033115342,24622.5455297703,9772.50868687406,2,1
"CP2303",100.006,100.006,100.006,700,699,714,84280.3033115342,24622.5455297703,9772.50868687406,2,1
"CP2296",100.006,100.006,100.006,368.445657733102,285,476,182121.579644736,47952.8671428393,9994.33628749102,2,1
"CP2298",100.006,100.006,100.006,500,478,523,20417178.911566,20174759.2728133,994873.092824455,366,1
"CP2301",100.006,100.006,100.006,893,859,929,368630.428104661,79781.2629039063,9994.33628749102,2,1
"CP2304",100.006,100.006,100.006,958,957,987,143297.76011873,25588.9715190564,9234.8764417693,2,1
"CP2297",100.006,100.006,100.006,122,104,139,185182.746760547,37476.4930129212,9992.3747824505,2,1
"CP2299",100.006,100.006,100.006,647,629,664,185182.746760547,37476.4930129212,9992.3747824505,2,1
"CP2300",100.006,100.006,100.006,827,810,845,182121.579644736,47952.8671428393,9945.55993936956,1,1
"CP2306",100.007,100.007,100.007,235,212,250,212312.04157928,52216.4828339773,9910.88775219396,2,1
"CP2308",100.007,100.007,100.007,760,737,775,212312.04157928,52216.4828339773,9910.88775219396,2,1
"CP2305",100.007,100.007,100.007,100,65,132,345097.660166211,80726.1816962845,9957.06183603033,2,1
"CP2307",100.007,100.007,100.007,501,478,523,20438881.3422799,20197276.2330673,1002154.56643508,372,1
"CP2309",100.007,100.007,100.007,23,4,38,171512.126957532,30421.431101539,9553.01400041208,2,1
"CP2310",100.007,100.007,100.007,625,538,657,599243.83162288,128294.080160339,9957.06183603033,2,1
"CP2311",100.008,100.008,100.008,500,478,523,20396682.3799588,20149694.624206,1009639.47651774,379,1
"CP2312",100.008,100.008,100.008,282,264,288,122253.262586892,20931.7622046757,9910.86131660268,2,1
"CP2313",100.008,100.008,100.008,807,789,813,122253.262586892,20931.7622046757,9910.86131660268,2,1
"CP2314",100.009,100.009,100.009,27,2,46,216102.560472209,52376.4955326863,9356.03677295148,1,1
"CP2315",100.009,100.009,100.009,90,73,107,177155.283235479,37980.5962980777,9542.89098735899,2,1
"CP2316",100.009,100.009,100.009,200,162,227,360847.419397905,85926.4985391974,9942.99493962899,2,1
"CP2317",100.009,100.009,100.009,500,478,523,20408870.0369565,20168861.6491722,1005106.88603566,360,1
"CP2318",100.009,100.009,100.009,615,598,632,177155.283235479,37980.5962980777,9542.89098735899,2,1
"CP2319",100.009,100.009,100.009,725,687,752,360847.419397905,85926.4985391974,9942.99493962899,2,1
"CP2320",100.009,100.009,100.009,969,952,985,174446.267026942,39198.9700852014,9529.14817258716,2,1
"CP2321",100.009,100.009,100.009,918,896,939,213628.838839941,51381.341966402,9790.78807169572,2,1
"CP2322",100.009,100.009,100.009,995,948,1000,279690.2555204,65222.1046803985,9725.63372226432,2,1
"CP2323",100.009,100.009,100.009,393,371,414,213628.838839941,51381.341966402,9790.78807169572,2,1
"CP2324",100.01,100.01,100.01,40,1,82,352561.421550345,79367.5186646424,9997.10802221671,2,1
"CP2325",100.01,100.01,100.01,128,97,150,249198.226740118,49249.7476980746,9673.88818506151,2,1
"CP2326",100.01,100.01,100.01,347,319,375,290548.914126121,77219.249571333,9720.0956614688,2,1
"CP2327",100.01,100.01,100.01,500,478,523,20476457.0806587,20244231.7908614,1006307.44348761,353,1
"CP2328",100.01,100.01,100.01,653,622,675,249198.226740118,49249.7476980746,9673.88818506151,2,1
"CP2329",100.01,100.01,100.01,872,844,900,290548.914126121,77219.249571333,9720.0956614688,2,1
"CP2331",100.011,100.011,100.011,501,478,523,20466095.927036,20215891.186687,991321.10854353,373,1
"CP2330",100.011,100.011,100.011,194,175,213,205211.919359863,41844.0349987701,9999.35593921691,2,1
"CP2332",100.011,100.011,100.011,719,700,738,205211.919359863,41844.0349987701,9999.35593921691,2,1
"CP2333",100.012,100.012,100.012,331,272,304,169699.057675898,52842.8412740162,9953.74358957633,2,1
"CP2335",100.012,100.012,100.012,856,797,829,169699.057675898,52842.8412740162,9953.74358957633,2,1
"CP2334",100.012,100.012,100.012,501,478,523,20706579.4892783,20470935.1844835,1020509.06757652,347,1
"CP2336",100.012,100.012,100.012,194,175,215,184462.378588505,47450.9138445908,9728.99984335527,2,1
"CP2337",100.012,100.012,100.012,719,700,740,184462.378588505,47450.9138445908,9728.99984335527,2,1
"CP2224",100.013,100.013,100.013,500,478,523,20318020.0018535,20073481.7140291,994014.551132653,383,1
"CP2338",100.014,100.014,100.014,500,478,523,20387602.0379688,20183202.4867705,1021683.40798884,362,1
"CP2340",100.014,100.014,100.014,926,921,932,55120.4427471384,14611.3809962117,9695.43660758063,2,1
"CP2341",100.014,100.014,100.014,999,978,1000,111244.598713238,31788.7163966952,9815.47623174265,2,1
"CP2339",100.014,100.014,100.014,687,648,724,377936.368507799,101498.675876428,9973.75056380406,2,1
"CP2349",100.015,100.015,100.015,598,598,609,65883.5235796869,65871.5235796869,9695.26402885094,9899,1
"CP2238",100.015,100.015,100.015,244,224,264,205492.828807328,45646.2302468995,9895.06557583809,2,1
"CP2239",100.015,100.015,100.015,326,325,347,118446.784499101,25876.1750203696,9635.72587352246,1,1
"CP2240",100.015,100.015,100.015,500,478,523,20467011.7129274,20231549.5739172,1003714.18090784,329,1
"CP2241",100.015,100.015,100.015,367,347,386,200897.900529671,40832.8399035398,9160.25988291949,1,1
"CP2342",100.015,100.015,100.015,807.301699226776,749,872,205492.828807328,205451.828807328,9895.06557583809,9894,1
"CP2343",100.015,100.015,100.015,945,932,959,130017.585819587,129989.585819587,9700.87075373158,9700,1
"CP2344",100.015,100.015,100.015,892,872,911,200897.900529671,200857.900529671,9160.25988291949,9159,1
"CP2345",100.015,100.015,100.015,599,589,608,108280.699793249,108260.699793249,9899.53349577263,9899,1
"CP2346",100.015,100.015,100.015,623,609,639,168986.829651985,168955.829651985,9681.12944858149,9680,1
"CP2347",100.015,100.015,100.015,659,658,660,10939.8978506215,10936.8978506215,7275.59303864837,9671,1
"CP2348",100.015,100.015,100.015,736,731,750,94523.6182981171,94503.6182981171,9919.37145823613,9918,1
"CP2350",100.015,100.015,100.015,708,707,709,15461.0959999263,15458.0959999263,8240.26704533026,9973,1
"CP2351",100.015,100.015,100.015,986,985,988,19755.7546710595,19751.7546710595,9165.05105327815,9988,1
"CP2352",100.015,100.015,100.015,654,653,657,22922.9973140173,22917.9973140173,9402.1607702598,9401,1
"CP0001",100.016,100.016,100.016,361.723212633264,303,464,465518.326794263,465427.326794263,9959.36165796593,9955,1
"CP0002",100.016,100.016,100.016,52.5477719440301,2,117,390610.798154958,390533.798154958,9987.46942961589,9986,1
"CP0003",100.016,100.016,100.016,343.330402613255,270,464,465518.326794263,465427.326794263,9959.36165796593,9955,1
"CP0004",100.016,100.016,100.016,299.032784741133,270,332,170275.517685805,170241.517685805,9953.24853109196,9952,1
"CP0005",100.016,100.016,100.016,208.901663914019,172,241,303267.249390483,303213.249390483,9913.04813651368,9912,1
"CP0006",100.016,100.016,100.016,145,143,170,148335.496494547,148307.496494547,9759.63051430881,9759,1
"CP0007",100.016,100.016,100.016,253,251,270,89225.3711586818,89205.3711586818,9770.1473440975,9769,1
"CP0008",100.016,100.016,100.016,442,424,478,320102.897924001,320048.897924001,44744.7970698506,9958,1
"CP2353",100.016,100.016,100.016,500,478,523,20229552.4567175,19998350.4164816,1007363.67905161,328,1
"CP2354",100.016,100.016,100.016,723,697,750,303267.249390483,89371.7057042435,9913.04813651368,2,1
"CP2355",100.016,100.016,100.016,813,795,828,170275.517685805,35932.0604736541,9894.09489324316,2,1
"CP2356",100.016,100.016,100.016,968,941,999,298554.699569941,80061.1502957641,9959.36165796593,2,1
"CP2357",100.016,100.016,100.016,670,668,695,148335.496494547,39671.8732552228,9759.63051430881,2,1
"CP2358",100.017,100.017,100.017,322.182054553349,128,473,160284.413916524,39713.9031080468,9998.43683792278,2,1
"CP2359",100.017,100.017,100.017,19,1,46,233208.294631913,55812.3046185508,9922.83681407571,1,1
"CP2360",100.017,100.017,100.017,500,478,523,20365490.4353334,20119362.6188059,1047649.06686646,366,1
"CP2361",100.017,100.017,100.017,668,653,684,160284.413916524,39713.9031080468,9857.15479124337,2,1
"CP2362",100.017,100.017,100.017,931,816,867,261826.125842053,64092.1479038566,9998.43683792278,2,1
"CP2243",100.018,100.018,100.018,305,287,322,194034.868110903,67636.4260153787,9971.70509072021,2,1
"CP2242",100.018,100.018,100.018,176,156,197,218058.001168538,75646.7200208135,9522.43791893125,2,1
"CP2244",100.018,100.018,100.018,500,478,523,20392546.7367214,20201056.5996733,1011277.62733877,392,1
"CP2245",100.018,100.018,100.018,43,24,60,161194.40366514,45046.5643491043,9671.44676716998,2,1
"CP2246",100.018,100.018,100.018,439,423,478,318729.803681213,130370.919055145,24734.2074814002,2,1
"CP2155",100.019,100.019,100.019,259,235,285,285422.636198346,86221.3828895666,9860.35026144236,2,1
"CP2156",100.019,100.019,100.019,500,478,523,20293101.7141253,20074420.8962548,975862.485924311,361,1
"CP2157",100.019,100.019,100.019,376,360,396,189506.696076132,41225.0120807141,9779.24902457744,2,1
"CP2158",100.019,100.019,100.019,211,186,234,229375.238206703,55018.990381869,9764.10865085199,2,1
"CP2159",100.019,100.019,100.019,324,294,325,167781.755414326,46772.2963049725,9792.9301764816,2,1
"CP0009",100.02,100.02,100.02,256.964501445564,196,319,269963.252434973,269913.252434973,9988.18814987317,9987,1
"CP0011",100.02,100.02,100.02,182,167,196,142482.883178163,142452.883178163,9944.59789944813,9944,1
"CP0012",100.02,100.02,100.02,342,322,357,178818.776987027,178782.776987027,9986.06457607821,9985,1
"CP0013",100.02,100.02,100.02,85,61,104,217271.524327807,217227.524327807,9795.17230065539,9794,1
"CP0014",100.02,100.02,100.02,20,19,21,21905.8590894565,21902.8590894565,9582.45340967551,9581,1
"CP0015",100.02,100.02,100.02,131,130,155,126095.579536632,126069.579536632,9952.3965222761,9951,1
"CP0016",100.02,100.02,100.02,153,142,167,129205.014447216,129179.014447216,9952.3965222761,9951,1
"CP2363",100.02,100.02,100.02,500,478,523,20443687.4847795,20235812.9738641,1002262.15395653,368,1
"CP2364",100.02,100.02,100.02,707,692,721,142482.883178163,42259.5356807544,9944.59789944813,2,1
"CP2365",100.02,100.02,100.02,818,795,844,269963.252434973,82162.4561126427,9988.18814987317,2,1
"CP2366",100.02,100.02,100.02,867,847,882,178818.776987027,47646.4470965899,9986.06457607821,2,1
"CP2367",100.02,100.02,100.02,610,586,629,217271.524327807,60441.9177278195,9795.17230065539,2,1
"CP2368",100.02,100.02,100.02,656,655,680,126095.579536632,34733.1289844865,9952.3965222761,2,1
"CP0010",100.02,100.02,100.02,396.033038802921,371,410,184078.618665226,184039.618665226,9652.61403238401,9652,1
"CP2247",100.021,100.021,100.021,270,251,285,167371.254041791,46465.514659576,9302.20445618033,2,1
"CP2248",100.021,100.021,100.021,501,478,523,20319652.7643172,20104671.5010339,1014310.30276744,374,1
"CP2369",100.021,100.021,100.021,750.086840580734,696,810,183183.0320484,183152.0320484,9905.12915188447,9904,1
"CP2370",100.021,100.021,100.021,841.79585108028,810,896,301179.184601642,301118.184601642,9991.39950377867,9990,1
"CP2371",100.021,100.021,100.021,612.758507425678,523,696,164844.427478965,164813.427478965,14970.8063692434,9889,1
"CP2372",100.021,100.021,100.021,968,955,985,174093.879249413,174062.879249413,9440.19978167489,9418,1
"CP2373",100.021,100.021,100.021,933,932,955,149356.661154889,149332.661154889,9779.01017991826,9610,1
"CP2225",100.022,100.022,100.022,500,478,523,20289872.5194355,20081762.6678798,985820.74656542,342,1
"CP2374",100.023,100.023,100.023,501,478,523,20371147.0279338,20156622.1399764,1021306.20110676,397,1
"CP2375",100.023,100.023,100.023,940,933,953,85503.0759470537,12863.346115693,8639.66971402988,2,1
"CP2376",100.023,100.023,100.023,838,837,866,147471.465934068,35984.2474099054,9901.8196715042,2,1
"CP2207",100.024,100.024,100.024,151,139,171,146991.912357043,28961.2442292083,8874.96535899118,2,1
"CP2208",100.024,100.024,100.024,207,200,226,122937.183503527,22264.108252827,9584.5971792005,2,1
"CP2209",100.024,100.024,100.024,379,361,403,225580.48135601,46627.7767864597,9819.1685276106,2,1
"CP2210",100.024,100.024,100.024,501,478,523,20669635.6403632,20431964.4703477,1025646.91543815,360,1
"CP2377",100.024,100.024,100.024,926.650569730606,812,1000,226282.095229253,226238.095229253,9972.91968902573,9959,1
"CP2378",100.024,100.024,100.024,676,664,696,146991.912357043,146958.912357043,8874.96535899118,9952,1
"CP2379",100.024,100.024,100.024,732,725,751,122937.183503527,122910.183503527,9584.5971792005,9957,1
"CP2380",100.024,100.024,100.024,761,745,775,151738.251382485,151707.251382485,9984.073091764,9983,1
"CP2381",100.024,100.024,100.024,792,774,793,112890.584056731,112870.584056731,9899.1882475093,9898,1
"CP2382",100.024,100.024,100.024,588,586,617,155088.863817509,155056.863817509,9846.4234219864,9845,1
"CP2383",100.025,100.025,100.025,51,26,80,293588.346883189,69695.8930459409,9910.52684141323,2,1
"CP2384",100.025,100.025,100.025,500,478,523,20307084.5491795,20064421.3067463,1013612.24330981,373,1
"CP2385",100.025,100.025,100.025,389,371,407,201264.333638828,41809.848921847,9651.95679338649,2,1
"CP2386",100.025,100.025,100.025,914,896,932,201264.333638828,41809.848921847,9651.95679338649,2,1
"CP2387",100.025,100.025,100.025,4,1,29,141270.447389688,32700.6493466195,9698.53054732084,2,1
"CP2388",100.025,100.025,100.025,577,529,595,342363.560989033,78456.3527243463,9910.52684141323,2,1
"CP2226",100.026,100.026,100.026,501,479,523,20389440.3740761,20166514.8710135,1048429.2152763,378,1
"CP2390",100.027,100.027,100.027,500,478,523,20312970.6899513,20075915.5489532,1050472.62999886,380,1
"CP2389",100.027,100.027,100.027,288,271,307,204672.354313079,59512.1173480597,9818.93097050488,2,1
"CP2391",100.027,100.027,100.027,813,796,832,204672.354313079,59512.1173480597,9818.93097050488,2,1
"CP2249",100.028,100.028,100.028,500,478,523,20508223.594142,20292048.2420581,1037953.68971041,352,1
"CP0673",100.029,100.029,100.029,280,257,304,266619.667075574,266571.667075574,9880.0740391016,9879,1
"CP0674",100.029,100.029,100.029,45,28,57,117024.160579313,116994.160579313,8358.1927139312,8357,1
"CP0675",100.029,100.029,100.029,331,304,352,229652.629876509,229603.629876509,9672.301763203,9671,1
"CP0677",100.029,100.029,100.029,88,86,89,19319.3037761375,19315.3037761375,9096.18801204488,9611,1
"CP0679",100.029,100.029,100.029,187,186,188,17327.3094231263,17324.3094231263,9745.89539226145,9812,1
"CP0680",100.029,100.029,100.029,9,1,28,132882.991910446,132854.991910446,9662.37055836245,9652,1
"CP0682",100.029,100.029,100.029,439,436,478,254905.89372374,254863.89372374,37869.8888351263,9915,1
"CP2188",100.029,100.029,100.029,500,478,523,20768214.0953917,20563661.7876818,1033983.52393097,365,1
"CP2392",100.029,100.029,100.029,878.636224528428,829,934,321062.479750253,320999.479750253,9790.13560106978,9671,1
"CP2394",100.029,100.029,100.029,805,782,829,266619.667075574,266571.667075574,9880.0740391016,9879,1
"CP2395",100.029,100.029,100.029,972,959,983,120968.660102226,120943.660102226,9813.24136490002,9812,1
"CP2397",100.029,100.029,100.029,610,603,610,42686.5383121185,42678.5383121185,8366.33357452229,9259,1
"CP2398",100.029,100.029,100.029,712,711,713,17327.3094231263,17324.3094231263,9745.89539226145,9812,1
"CP2399",100.029,100.029,100.029,572,523,582,340068.717433939,340009.717433939,87181.8465293495,8357,1
"CP0672",100.029,100.029,100.029,139,137,140,21159.0383481234,21155.0383481234,8190.14821667224,9661,1
"CP0676",100.029,100.029,100.029,200,196,214,81481.5423474647,81462.5423474647,9813.20607941598,9812,1
"CP0678",100.029,100.029,100.029,376,347,467,585191.997042857,585070.997042857,9915.95549974591,9552,1
"CP0681",100.029,100.029,100.029,231,215,255,187910.980768502,187869.980768502,9984.22033851966,9983,1
"CP2393",100.029,100.029,100.029,664,662,665,21159.0383481234,21155.0383481234,8190.14821667224,9661,1
"CP2396",100.029,100.029,100.029,725,721,739,81481.5423474647,81462.5423474647,9813.20607941598,9812,1
"CP2400",100.029,100.029,100.029,756,740,780,187910.980768502,187869.980768502,9984.22033851966,9983,1
"CP2401",100.03,100.03,100.03,500,479,523,19876150.400582,19699902.5772134,996865.804722861,390,1
"CP2402",100.03,100.03,100.03,941,899,999,509411.172145046,190525.978969235,9888.21131642908,2,1
"CP2403",100.03,100.03,100.03,863,844,864,118206.888930872,47825.6182683981,8954.11109086126,2,1
"CP2404",100.03,100.03,100.03,567,526,611,423697.475327644,147125.113354705,9932.50929983333,2,1
"CP2405",100.03,100.03,100.03,827,826,844,110978.590745945,47125.6837622786,9976.74907324836,2,1
"CP0020",100.031,100.031,100.031,100,88,107,90794.2125177942,90774.2125177942,9321.3764554821,9320,1
"CP0021",100.031,100.031,100.031,214,213,216,21239.9332481436,21235.9332481436,8377.8499555774,9962,1
"CP0022",100.031,100.031,100.031,448,381,467,455962.435377296,455875.435377296,9999.56945655867,9456,1
"CP0024",100.031,100.031,100.031,153,149,157,50392.7409346215,50383.7409346215,8693.3491169475,9456,1
"CP2409",100.031,100.031,100.031,938,913,958,241356.36322666,241310.36322666,9995.30645320192,9456,1
"CP2410",100.031,100.031,100.031,739,738,741,21239.9332481436,21235.9332481436,8377.8499555774,9962,1
"CP2413",100.031,100.031,100.031,678,674,682,50392.7409346215,50383.7409346215,8693.3491169475,9456,1
"CP0017",100.031,100.031,100.031,37,21,57,192902.883908246,192865.883908246,9728.63357514143,9728,1
"CP0018",100.031,100.031,100.031,256,237,277,219554.809278343,219513.809278343,9913.1102883257,9912,1
"CP0019",100.031,100.031,100.031,304,277,331,301919.653322548,301864.653322548,9982.15573374182,9981,1
"CP0023",100.031,100.031,100.031,185,167,200,155979.054530617,155945.054530617,9985.94052623957,9985,1
"CP0025",100.031,100.031,100.031,72,56,89,166585.904669482,166551.904669482,9710.23457823321,8608,1
"CP0026",100.031,100.031,100.031,358,357,359,9117.12666740641,9114.12666740641,5327.47592544183,9977,1
"CP2406",100.031,100.031,100.031,580.377339894455,526,632,90794.2125177942,90774.2125177942,9728.63357514143,9728,1
"CP2407",100.031,100.031,100.031,781,762,802,219554.809278343,219513.809278343,9913.1102883257,9912,1
"CP2408",100.031,100.031,100.031,829,802,856,301919.653322548,301864.653322548,9982.15573374182,9981,1
"CP2411",100.031,100.031,100.031,978,959,999,218396.469906438,218355.469906438,9999.56945655867,8895,1
"CP2412",100.031,100.031,100.031,710,692,725,155979.054530617,155945.054530617,9985.94052623957,9985,1
"CP2414",100.031,100.031,100.031,883,882,884,9117.12666740641,9114.12666740641,5327.47592544183,9977,1
"CP2250",100.031,100.031,100.031,500,478,523,20480704.0448065,20235094.2725109,998663.200588385,365,1
"CP2227",100.032,100.032,100.032,501,478,523,20531197.3777039,20311968.7235015,1020984.38062707,334,1
"CP2251",100.033,100.033,100.033,500,478,523,20274439.7096029,20071662.209678,1007118.95087723,329,1
"CP2211",100.034,100.034,100.034,501,479,523,20210902.9720199,20011109.8192605,1003462.15574601,364,1
"CP2252",100.035,100.035,100.035,501,478,523,20559008.9004749,20350067.6036637,1029348.1970213,357,1
"CP2253",100.036,100.036,100.036,501,478,523,20405677.5456276,20208940.1065271,1004581.43633342,383,1
"CP2254",100.037,100.037,100.037,500,478,523,20534279.6832557,20306710.2368637,994650.787812951,336,1
"CP2228",100.038,100.038,100.038,500,479,523,20215398.9101067,19992237.6428159,995516.629589418,225,1
"CP2129",100.039,100.039,100.039,500,479,523,20204825.7544968,19985933.4226914,1018871.90004672,273,1
"CP0683",100.04,100.04,100.04,71,51,86,180878.749778494,180842.749778494,9670.68908270448,9670,1
"CP0684",100.04,100.04,100.04,234,214,256,243974.667636212,243931.667636212,9867.7305271849,9758,1
"CP0685",100.04,100.04,100.04,349,347,352,39918.0467426777,39912.0467426777,9609.61695760489,9711,1
"CP0686",100.04,100.04,100.04,126,106,149,217621.051480528,217577.051480528,9948.40812170878,9947,1
"CP0687",100.04,100.04,100.04,383,366,404,215251.771456096,215212.771456096,9508.81922151893,9508,1
"CP0688",100.04,100.04,100.04,274,256,296,219593.670933973,219552.670933973,9967.26349228993,9966,1
"CP0689",100.04,100.04,100.04,6,2,8,32736.7350459099,32729.7350459099,8597.76585362852,9849,1
"CP0690",100.04,100.04,100.04,182,178,205,144536.118516698,144508.118516698,9777.59311441332,9777,1
"CP0691",100.04,100.04,100.04,419,407,470,307008.338805754,306944.338805754,9927.62785870582,9927,1
"CP0692",100.04,100.04,100.04,15,13,18,39187.0815795846,39181.0815795846,8693.92767548561,9849,1
"CP0693",100.04,100.04,100.04,316,315,322,43129.1152583435,43121.1152583435,8801.00114271045,9911,1
"CP0694",100.04,100.04,100.04,436,427,479,279986.704587822,279935.704587822,53735.6624163658,9927,1
"CP2415",100.04,100.04,100.04,651,631,645,71078.6154959351,71063.6154959351,8487.87342896685,9947,1
"CP2416",100.04,100.04,100.04,759,739,781,243974.667636212,243931.667636212,9867.7305271849,9758,1
"CP2417",100.04,100.04,100.04,874,872,877,39918.0467426777,39912.0467426777,9609.61695760489,9711,1
"CP2418",100.04,100.04,100.04,596,576,611,180878.749778494,180842.749778494,9670.68908270448,9670,1
"CP2419",100.04,100.04,100.04,908,891,929,215251.771456096,215212.771456096,9508.81922151893,9508,1
"CP2420",100.04,100.04,100.04,799,781,821,219593.670933973,219552.670933973,9967.26349228993,9966,1
"CP2421",100.04,100.04,100.04,993,980,1000,91275.2573913895,91254.2573913895,9561.40632508323,9560,1
"CP2422",100.04,100.04,100.04,964,952,980,131876.879136544,131847.879136544,9927.62785870582,9927,1
"CP2423",100.04,100.04,100.04,707,703,730,144536.118516698,144508.118516698,9777.59311441332,9777,1
"CP2424",100.04,100.04,100.04,841,840,847,43129.1152583435,43121.1152583435,8801.00114271045,9911,1
"CP2212",100.04,100.04,100.04,500,479,523,20429926.8718294,20224450.3825997,1046736.04204673,359,1
"CP0027",100.041,100.041,100.041,392.036741618441,351,420,188142.997685354,188106.997685354,9710.66172933206,9710,1
"CP0030",100.041,100.041,100.041,248,245,249,27506.1904336326,27501.1904336326,8569.24248626456,9973,1
"CP0031",100.041,100.041,100.041,199,173,215,203133.374743629,203090.374743629,9105.80085357651,9105,1
"CP0032",100.041,100.041,100.041,272,267,276,48265.3893902898,48255.3893902898,9434.8047953099,9727,1
"CP0036",100.041,100.041,100.041,433,419,478,315907.756124071,315849.756124071,60793.8919462334,9085,1
"CP2189",100.041,100.041,100.041,500,478,523,20298146.7103839,20083969.8512412,1006917.60793862,318,1
"CP2425",100.041,100.041,100.041,922.577147898683,875,971,233186.525246128,233141.525246128,9710.66172933206,9710,1
"CP2426",100.041,100.041,100.041,561.419880692217,532,613,404300.700726453,404218.700726453,9994.60472958162,9988,1
"CP2428",100.041,100.041,100.041,773,770,774,27506.1904336326,27501.1904336326,8569.24248626456,9973,1
"CP2429",100.041,100.041,100.041,724,698,740,203133.374743629,203090.374743629,9105.80085357651,9105,1
"CP2430",100.041,100.041,100.041,637,636,638,14288.9477848075,14285.9477848075,9468.76213187352,9671,1
"CP2431",100.041,100.041,100.041,984,972,999,120107.889005449,120079.889005449,9836.66857006028,9836,1
"CP2432",100.041,100.041,100.041,797,792,801,48265.3893902898,48255.3893902898,9434.8047953099,9727,1
"CP0028",100.041,100.041,100.041,68.0829726927124,1,113,252845.16246058,252798.16246058,9994.60472958162,9994,1
"CP0029",100.041,100.041,100.041,140,127,159,153654.101958964,153621.101958964,9936.75305508077,9936,1
"CP0033",100.041,100.041,100.041,312,311,313,24300.9376619011,24297.9376619011,8928.80910076201,9709,1
"CP0034",100.041,100.041,100.041,227,224,232,57146.7085764743,57137.7085764743,9916.95060627535,9973,1
"CP0035",100.041,100.041,100.041,335,323,336,74748.2161456719,74734.2161456719,9567.03849136829,9566,1
"CP2427",100.041,100.041,100.041,665,652,684,153654.101958964,153621.101958964,9936.75305508077,9936,1
"CP2433",100.041,100.041,100.041,837,836,838,24300.9376619011,24297.9376619011,8928.80910076201,9709,1
"CP2434",100.041,100.041,100.041,752,749,757,57146.7085764743,57137.7085764743,9916.95060627535,9973,1
"CP2435",100.041,100.041,100.041,860,848,861,74748.2161456719,74734.2161456719,9567.03849136829,9566,1
"CP0696",100.042,100.042,100.042,289,265,311,239168.08584705,55717.7409159516,9854.4585169293,0,1
